,title,employer,location,rating,description,salary_estimate,easy_apply,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,company_size,company_type,company_sector,company_founded,company_industry,company_revenue
162,Junior HW/Embedded Engineer,CPS Jobs,Tel Aviv,2.6 ,"תחום: A global green energy company is looking for a Junior HW/Embedded Engineer! דרישות:  BA/ BS.c in Electrical Engineering or electronics .one year of experience in RT seystems or DSP or Microcontrollers 1-2 years of experience in the field of real-time, dsps, microcontrollers etc. איזור: גוש דן",-1,0,3.0,1.8,2.3,2.5,3.6,1 to 50 Employees,Company - Private,Human Resources & Staffing,-1,HR Consulting,Unknown / Non-Applicable
163,QA Engineer,AppLovin,Herzliya,3.6 ,"About AppLovin AppLovin accelerates business growth with market leading technologies. AppLovin’s end-to-end software solutions support profitable growth by optimizing monetization and by using powerful machine learning to make data-driven marketing decisions. AppLovin partners with businesses to deliver personalized experiences at a massive global scale. AppLovin is headquartered in Palo Alto, California with several offices globally. To deliver on this mission, our global team is composed of team members with life experiences, backgrounds, and perspectives that mirror our developers and customers around the world. At AppLovin, we are intentional about the team and culture we are building, seeking candidates who are outstanding in their own right and also demonstrate their support of others.",-1,0,3.5,4.0,3.4,3.5,3.2,1001 to 5000 Employees,Company - Public,Information Technology,2012,Internet & Web Services,Unknown / Non-Applicable
164,Deep Learning Engineer,Replies AI,Tel Aviv-Yafo,4.5 ,JOIN US We are the new generation of artificial intelligence. Our engine is creating success stories around the world by assisting support teams to bring an exceptional service experience. Deep Learning Engineer - Tel Aviv DESCRIPTION  We are looking for a Deep Learning Engineer to join our ML/DL engine team. Our data science team is structured entirely with ML developer who contributes to the development of DL-based algorithm but also to its connectivity to the product and business. We're looking for people who are passionate to help customers and not just explore the research side of things.  RESPONSIBILITIES,-1,0,4.5,4.5,4.5,4.5,4.5,Unknown,Company - Private,-1,-1,-1,Unknown / Non-Applicable
165,Machine Learning Engineer,Apple,Herzliya,4.2 ,"Summary Posted: Aug 8, 2023 Role Number:200495352 Imagine what you could do with Machine Learning at Apple! Extraordinary ideas have a way of becoming excellent products, services, and customer experiences which are personalized, contextualized and intelligent to our users. The ML Algo team at Apple works on various multidisciplinary ML projects related to Apple’s chip design technologies. We are looking for an outstanding machine learning engineer to develop state-of-the-art algorithms and infrastructure for the next generation of thoughtful and personal products we deliver. If you thrive at the intersection of algorithms, Apple’s outstanding chips and applied machine learning this position will excite and encourage you.",-1,0,3.8,4.3,4.2,3.7,3.6,10000+ Employees,Company - Public,Information Technology,1976,Computer Hardware Development,$10+ billion (USD)
166,Software Engineer,Cyesec,Herzliya,4.3 ,"CYE is helping world-class security teams optimize their security decisions using a data-driven approach. As a software engineer at CYE, you’ll lead core features in our SaaS platform. You’ll work closely with cybersecurity researchers and data scientists and get a chance to learn from experts in these fields. Our technology stack includes AWS, Docker, Redis, Apache Spark, and Databricks, just to name a few. You'll work on: Designing, building, and scaling new product features and backend services from scratch using cutting-edge technologies Driving technological and architectural decisions Building world-class engineering standards, tools, and processes",-1,0,4.1,3.8,4.4,4.2,4.3,51 to 200 Employees,Company - Private,Information Technology,2012,Enterprise Software & Network Solutions,Unknown / Non-Applicable
167,R&D Mechatronics & Avionics Engineer,AIRLIFT One,Tel Aviv-Yafo,-1,"TEL-AVIV, ISRAEL ENGINEERING FULL-TIME About AIRLIFT One Based in the heart of Startup Nation, at the intersection of aerodynamics, autonomy, and electric propulsion - we are changing personal aviation. AIRLIFT One enables you to travel 5 times faster than a car by introducing the world’s most efficient all-electric vertical take-off and landing aircraft: an air taxi for 2-5 people. You won’t have to own one, you will simply pay per ride and call it with a push of a button. It’s our mission to make air taxis available to everyone and as affordable as riding a car. - Take-off and Land Anywhere - Quiet electric vertical take-off and landing (VTOL) is the technology that will change travel forever. It enables you to access city centres with an aircraft. Leaving the city after a stressful day will soon be transformed into a thrilling ride. By travelling through the air you’ll be able to avoid time-consuming traffic jams, while enjoying a magnificent view.",-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,Company - Private,-1,-1,-1,Unknown / Non-Applicable
168,Technical Support Engineer,SAR Technologies,Herzliya,3.5 ,"We are looking for a talented Technical support Engineer to join our Customer Experience team Step into our world, where advanced technologies take center stage, transforming the online trading experience. With our cutting-edge approach, we follow Hedge & new methodologies, constantly pushing boundaries. Our open-door policy ignites a vibrant atmosphere of collaboration, where departments unite in a dynamic blend of community and creativity. We offer an excellent work environment where you will be challenged and encouraged to grow professionally",-1,0,3.5,3.5,3.5,2.5,4.1,51 to 200 Employees,Contract,-1,-1,-1,Unknown / Non-Applicable
169,QA Engineer - Full Stack (Manual Oriented)),Pentera,Petah Tikva,4.8 ,"Come Hack With Us! Join us on our mission of protecting organizations against the most advanced attackers in the world! Pentera is the leader for Automated Security Validation, allowing every organization to test with ease the integrity of all cybersecurity layers, unfolding true, current security exposures at any moment, at any scale. As a result, thousands of security professionals and service providers worldwide use our platform to guide remediation and close security gaps before they are exploited. We are a unicorn with more than 320 employees around the globe, with over 800 customers in production in more than 50 countries!    Requirements:",-1,1,4.8,4.8,4.8,4.8,4.5,51 to 200 Employees,Company - Private,Information Technology,2015,Enterprise Software & Network Solutions,Unknown / Non-Applicable
170,Embedded Software Engineer,Invaya,Herzliya,3.3 ,Job Description: Software development Working in RT Embedded environment Design and hands-on software implementation  Required Skills: Relevant B.Sc degree Experience in hands-on software development Knowledge in hardware and good system-level understanding Experience in embedded systems C/C++ programming Good human and communication skills Fast learner and independent,-1,0,2.7,3.0,3.3,2.5,2.6,51 to 200 Employees,Company - Private,Transportation & Logistics,2010,Taxi & Car Services,Unknown / Non-Applicable
171,Manual QA Engineer,Earnix,Ramat Gan,4.5 ,"As a manual QA engineer, you will be assigned to test and validate our leading product deliverables. Be part of a dynamic and dedicated Scrum team, working according to best-case methodologies. Our manual QA teams are considered highly important in the product’s life cycle and our customer’s satisfaction with the various products we release.  What you’ll do: Develop, execute and maintain test plans for Earnix’s products. Work closely with many interfaces in Earnix (development, product, DevOps and support teams).  Requirements:     Position Intro:",-1,1,4.1,4.2,4.1,4.0,4.6,201 to 500 Employees,Company - Private,Information Technology,2001,Enterprise Software & Network Solutions,Unknown / Non-Applicable
172,SW Engineer,GE Healthcare,Rehovot,4.3 ,"Job Description Summary Software engineer at GE HealthCare engineering department in Rehovot developing gamma ray detectors.  SW engineer position for the GE detection center of excellence, working in a multidisciplinary team to develop software for next generation of molecular imaging gamma ray’s subsystem detection devices and support ongoing factory and field activities as part of Product Life Cycle. Job Description Roles and Responsibilities",-1,0,4.2,4.1,4.3,4.0,4.1,10000+ Employees,Company - Public,Healthcare,1892,Health Care Services & Hospitals,$10+ billion (USD)
173,RT/Embedded SW Engineer,Valens,Hod HaSharon,-1,"The Software Engineer will be a part of Valens SW team, developing complex state-of-the-art ProAV and Automotive products. During the work, you will cross a wide range of ProAV and Automotive technologies and network standards. You will take part in the definition, implementation and productization of next generation Valens SoCs. Develop both high-level and low-level applications in multi-threaded environments. Job Requirements BSc in Electrical/Computer Eng. or computer science, or similar degree from a well-known university (GPA above 80) A strong will and passion to enter the Embedded world 0-2 years of experience as a SW developer",-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
174,QA Automation Engineer,Zoll Medical Corporation,Herzliya,3.6 ,"QA Automation Engineer Location: Herzeliya, Remote Itamar  Job Description & Responsibilities ZOLL Itamar is a medical device company that develops and markets innovative diagnostic & therapy solutions for sleep disorders. To support our revenue growth, we are looking for an automation QA engineer to join our newly formed Digital Health business unit. This is a unique opportunity to join our small team and create products from the grounds up that have tangible impact on people’s wellness.",-1,0,3.2,3.4,3.3,3.1,3.4,1001 to 5000 Employees,Company - Private,Manufacturing,1980,Health Care Products Manufacturing,$100 to $500 million (USD)
175,Junior Manual QA - GEP,Overwolf,Ramat Gan,4.6 ,"We're seeking a keen-eyed Junior Manual QA Engineer to join our team at Overwolf, ensuring the quality of our software products. As our Junior QA Guardian, you’ll be responsible for writing test case documentation, conducting manual testing, investigating issues, and collaborating with other teams to deliver a seamless user experience for our users. So if you're a passionate advocate for quality, a master of meticulous testing, and possess unwavering attention to detail, step forth and come join our Overwolfian journey.  Requirements:  Responsibilities:",-1,1,4.2,4.6,4.6,4.4,4.5,51 to 200 Employees,Company - Private,Information Technology,2010,Software Development,Unknown / Non-Applicable
176,Test automation engineer,eternitech,Tel Aviv-Yafo,1.0 ,"Position description Eternitech is looking for an experienced test QA automation engineer Required skills Excellent experience in object oriented languages, ideally C#/Java/Scala at least 2 years Experience in mobile test automation at least 1 year Experience in: specflow and Ranorex tools- advantage Familiarity with AWS, Linux, Git, Android, iOS- advantage",-1,0,1.0,1.0,1.0,1.0,1.0,1 to 50 Employees,Company - Private,-1,1993,-1,$5 to $25 million (USD)
177,Technical Support Engineer,CPS Jobs,Tel Aviv,2.6 ,"תחום: מערכות מידע A successful cyber security company is looking for a talented Technical Support Engineer. What you will do: Take part in supporting the world-wide market leading product suite, consisting of: Network Access Control, Endpoint Compliance, Mobile Control, and Intrusion Prevention. Applications range from Client / Server applications to Web apps for a Network Access Control solution, running on both Windows and Linux systems. דרישות:",-1,0,3.0,1.8,2.3,2.5,3.6,1 to 50 Employees,Company - Private,Human Resources & Staffing,-1,HR Consulting,Unknown / Non-Applicable
178,Software Engineer בJava לחברת הייטק בינלאומית עם שני מרכזי פיתוח,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: אנחנו מפתחים תוכנה לניהול רשתות טלוויזיה, עובדים עם ערוצי טלוויזיה הכי גדולים בעולם, ניהול ערוצי טלוויזיה, למשל כל התוכן של הערוץ יושב במקום מסוים והתוכנה מנהלת את כל הערוץ. רווחיים, גדלים ומתפתחים, מונים 150 עובדים. ה-Stack הטכנולוגי כולל – AWS, Microservices, Kafka. התנאים מעולים וכוללים – ימי חופש בערבי חג, ימי הולדת, קה""ש, איזון בית-עבודה, תכניות לפיתוח אישי ועוד. מעניין? הגישו קורות חיים דרישות המשרה:",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
179,Technical Support Engineer,WhiteSource,Giv`atayim,4.2 ,"The Company: Mend is passionate about safeguarding the applications that power our digital world. We are a fast-growing company with a vision for building next-level application security that developers and security teams both love to use. We have offices in Boston and Tel-Aviv as well as a global workforce of remote workers. Our culture is open, inclusive, and engaging, and we work hard to foster a company where everyone feels valued. Mend is a company that lives by its values: We are passionate about excellence We see the world from the customer’s perspective We are better together",-1,0,4.0,3.9,4.3,3.7,4.1,201 to 500 Employees,Company - Private,Information Technology,2011,Enterprise Software & Network Solutions,Unknown / Non-Applicable
180,"Cloud Software Engineer, Identity Protection (Israel)",CrowdStrike,Tel Aviv-Yafo,4.3 ,"#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight. About the Team: You will be joining the Identity protection team that delivers detection and prevention of identity related incidents in the organizational network using the falcon sensor and cloud.",-1,0,4.0,4.2,4.1,3.9,4.1,1001 to 5000 Employees,Company - Public,Information Technology,2011,Enterprise Software & Network Solutions,$500 million to $1 billion (USD)
181,Full Stack Engineer,Atomic-growth.com,Ramat Gan,-1,"Atomic Growth is building the next-generation Consumer Packaged Goods CPG company by acquiring and scaling independent e-commerce brands. We leverage AI and unique e-commerce expertise to identify, acquire, operate, and scale these brands. We partner with the owners of these brands, and offer them an opportunity to go above and beyond what they imagined when starting their brand. Atomic Growth assembled an extraordinary, cross-functional team of AI, e-commerce, and M&A experts, based in Tel-Aviv and New-York. Growing rapidly, and looking for driven professionals who are excited to join a dynamic startup environment, offering ownership and exceptional personal development opportunities from day 1. Responsibilities for Full Stack",₪25K (Employer est.),1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
182,Junior QA Engineer לחברה ישראלית יציבה ורווחית,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: צוות הQA שלנו מתרחב ונשמח לצרף QA Engineer לביצוע בדיקות ידניות, עבודה עם Cloud ופרוטוקלי תקשורת. החברה עוסקת ב-Infrastructure Automation at Scale על מנת לייעל תהליכי DevOps בחברות וארגונים. עד כה מושקעת בלמעלה מ-114M דולר עם מעל 200 לקוחות משלמים. מונים 120 עובדים וצומחים! דרישות המשרה: נסיון של שנה בבדיקות ידניות Client/Server",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
183,Junior Deep Learning Engineer בחברה לאחר רכישה מתוקשרת!,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: חברה מעולה הממומנת ב-120 מיליון דולר, נרכשו על ידי חברה גדולה ומוכרת ועובדים כחטיבה עצמאית לחלוטין. עוסקים ב Compute Power ל-AI, מפתחים מנוע חדשני מבוסס Deep Learning המאפשר כוח מחשוב מותאם Al לעיבוד כמויות Data עצומות. יש משרדים במרכז הארץ ובאיזור השרון על קו רכבת, לנוחות העובד. החברה מונה מאות עובדים. מדובר בתפקיד שהוא כחלק מצוות, פיתוח מודלים של בינה מלאכותית לשימוש עבור המעבדים. הפיתוח ב Python, שימוש בכלי Deep Learning כמו PyTorch ו- TensorFlow. העבודה ב-Production (ללא צד מחקרי, אלא פיתוח ומימוש של האלגוריתמים).",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
184,Junior QA Engineer - Generative AI Team,AudioCodes Limited,Central,4.1 ,"Description We are seeking a Junior QA Engineer to join our Generative AI Team, which focuses on Prompt Engineering and other Generative AI related activities. As a QA Engineer, you will play a vital role in ensuring the quality and reliability of our AI systems. You will be responsible for designing, executing, and maintaining test plans, as well as identifying and reporting issues and bugs.  Requirements  QA Certification. (International certification ISTQB or higher is an advantage)",-1,0,3.8,3.8,4.4,3.8,4.2,501 to 1000 Employees,Company - Public,Manufacturing,-1,Electronics Manufacturing,$100 to $500 million (USD)
185,Junior Software Engineer לחברת הייטק מובילה עם 1500 עובדים,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: למשרת פיתוח ורסטילית דרוש/ה מפתח/ת Junior. יש כמה תקנים, פיתוח Net Server Web. ועבודה עם AWS, או פיתוח וורסטילי עם Net/C++/Java/Ruby. - דינאמי ומשתנה בהתאם לצורך יש פיתוחים מאפס ופטנטים שרשומים על הצוות. כ60% מחקר טכנולוגיות וכלים והשאר פיתוח, בנוסף Design, ארכיטקטורה. מדובר על חברת הייטק מובילה עולמית בתחומים של שיתוף מידע מאובטח בין ארגונים, שליטה ובקרה על פעילותם של משתמשים בעלי הרשאות גבוהות בארגון והגנה מפני התקפות סייבר. מונים למעלה מ 1500 עובדים, המשרה היא בצוות שאחראי על פיתוחים חדשים שמאפשרים למוצרים ליצור אותנטיקציות חדשות בפלטפורמות מגוונות. כל פעם מייצרים אותנטיקציה חכמה כדי להציע אבטחה גבוהה יותר. מאפשרים 2-3 ימי עבודה מהבית, נשמח להכיר אותך!",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
186,Junior QA Engineer,Unleash Labs,Tel Aviv-Yafo,3.7 ,"Unleash is powering the productivity revolution by providing users with a centralized way to search through their cloud based apps and local desktop. A light weight search interface allows users to enter their search query and receive relevant ranked results which are yielded in seconds. As a user centric company, we place a great deal of emphasis on users experience when building our product and have fun doing it!  We are a fresh and energetic startup, post round A in funding ($12M), led by a strong team of second timer founders and top angel investors and VCs from the Sillicon Valley and Tel Aviv. Our expanding team is made up of enthusiastic and dedicated members working together to revolutionize the productivity world. We believe that collaboration across teams - where everyone is accessible, from our newest hires to the founders - combined with a vested interest in our teams well being are the keys to our successful working environment.",-1,0,3.5,3.7,3.7,3.4,3.5,51 to 200 Employees,Company - Private,Media & Communication,2011,Publishing,Unknown / Non-Applicable
187,NOC Engineer- Student Position,Gong.io Inc.,Tel Aviv-Yafo,4.2 ,"As a NOC Student, you will: Ensure infrastructure and applications are monitored and that alerts and incidents are handled quickly and professionally. Measure and monitor the viability and stability of the systems and their core components. Perform proactive system monitoring. Confirming the integrity and availability of processes & pipelines. Troubleshooting and resolving application-related issues. You should apply if you are:",-1,0,3.9,4.1,4.3,4.0,3.9,1001 to 5000 Employees,Company - Private,Information Technology,2015,Enterprise Software & Network Solutions,Unknown / Non-Applicable
188,DevOps Software Engineer - (Student position) SAP Cloud Virtualization,SAP,Raanana,4.4 ,"We help the world run better  Our company culture is focused on helping our employees enable innovation by building breakthroughs together. How? We focus every day on building the foundation for tomorrow and creating a workplace that embraces differences, values flexibility, and is aligned to our purpose-driven and future-focused work. We offer a highly collaborative, caring team environment with a strong focus on learning and development, recognition for your individual contributions, and a variety of benefit options for you to choose from.Apply now!",-1,0,4.1,4.0,4.4,4.0,4.3,10000+ Employees,Company - Public,Information Technology,1972,Enterprise Software & Network Solutions,$10+ billion (USD)
189,QA Engineers,BUFFERZONE Security,Herzliya,-1,"We are looking for motivated and talented people to join our team. If you are looking for a challenging position in a fast-paced start-up environment, please send your CV to us at careers@bufferzonesecurity.com.  BUFFERZONE’s QA team is responsible for verifying that all product releases meet the highest standards. As a member of the QA team, the QA engineer will be responsible for planning, writing and executing product test plans, both manual and automatic. The job requires a good understanding of the MS Windows environment, Windows applications, client-server systems, and security applications. Responsibilities",-1,0,2.0,2.0,2.0,2.0,5.0,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
190,Junior Data Engineer בחברה מצליחה שעוסקת באבחון גנומי מתמונות ביופסיה,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: החברה פיתחה טכנולוגיה פורצת דרך המבוססת על מודלים חדשים של AI לקבלת אבחון גנומי מפורט מתמונת הביופסיה בלבד. הטכנולוגיה מזהה מגוון רחב של סמנים ביולוגיים (מוטציות/ באגים בגנים), שאינם ניתנים לזיהוי באבחון פתולוגי של עין אנושית. היום תהליך כזה של ריצוף גנטי לוקח זמן רב (שבועות ולעיתים חודשים), יקר מאוד ובעל מגבלות טכנולוגיות. בעזרת הטכנולוגיה שפיתחה החברה הצליחו לקצר את התהליך ל-2 דקות בלבד. החברה מונה קרוב ל-30 עובדים. ממוקמים בתל אביב ונמצאים מרחק הליכה מרכבת ומתחבורה ציבורית נגישה. משלבים מודל עבודה הבירידי. מהות התפקיד: פיתוח וניתוח Data אבל לא אלגוריתמיקה, כפיפות לראש צוות, קוד בPython ו-Node.js.",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
191,Junior Full Stack Engineer לחברה בינלאומית מצליחה,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: חברה בינלאומית מצליחה מחפשת את הטאלנט הבא! החברה עוסקת בתחום ה-IOT ו-Big Data, ומפתחת מערכות חכמות לרכב. מונים כ-60 עובדים בארץ ו-150 בעולם, יושבים במרכז הארץ ועובדים במודל היברידי. במסגרת התפקיד, הצטרפות לצוות פיתוח Full Stack ב-NodeJS ו-React. מעוניין/ת לשמוע עוד? שלח/י קורות חיים ונתעדכן! דרישות המשרה: שנה ניסיון בפיתוח NodeJS ו-React תואר טכנולוגי / יוצא/ת יחידה טכנולוגית",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
192,AI Prompt Engineer,Varonis,Herzliya,4.1 ,"Summary Data has never been more valuable and vulnerable. As cybercriminals become more sophisticated and regulations become stricter, organizations struggle to answer one key question: “Is my data safe?” At Varonis, we see the world of cybersecurity differently. Instead of chasing threats, we believe that the most practical approach is to protect data from the inside out. We’ve building the industry’s first fully autonomous data security platform to help our customers dramatically reduce risk with minimal human effort. At Varonis, we move fast. We’re an ultra-collaborative company with brilliant people who care deeply about the details. Together, we’re solving interesting and complex puzzles to keep the world’s data safe.",-1,0,4.1,4.1,4.1,3.9,4.0,1001 to 5000 Employees,Company - Public,Information Technology,2005,Software Development,$100 to $500 million (USD)
193,Manual QA Engineer,Imomony,Tel Aviv-Yafo,2.4 ,"We’re looking for magnificent, creative and curious Manual QA Engineer to join our great QA team Qualifications: If you have: 2-3 years of experience in Manual testing from Internet / Online companies In Client -experience / Server and Web security, Writing STP, STD and STR Documents Familiarity and experience with SQL Experience working in an Agile / Scrum – an advantage",-1,0,3.3,2.7,3.4,2.4,4.3,51 to 200 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
194,CPU Verification Engineer -,Apple,Herzliya,4.2 ,"Summary Posted: Feb 6, 2023 Weekly Hours: 42 Role Number:200458942 In this visible role, you will be responsible for defining DV methodologies, test-bench infrastructure ramp-up and project execution of multiple all new CPU cores for Apple product lines. You will develop verification test plans, tools, test benches, protocol monitors, and high-coverage stimulus vectors. Apply advanced techniques to achieve verification with the highest quality, productivity, and time-to-market. You will work closely with the design team to ensure timely delivery of quality designs. Applying advanced methods to accelerate verification time. Involvement in Post Silicon Validation.",-1,0,3.8,4.3,4.2,3.7,3.6,10000+ Employees,Company - Public,Information Technology,1976,Computer Hardware Development,$10+ billion (USD)
195,Junior QA Engineer,Unleash,Tel Aviv-Yafo,3.7 ,"Unleash is powering the productivity revolution by providing users with a centralized way to search through their cloud based apps and local desktop. A light weight search interface allows users to enter their search query and receive relevant ranked results which are yielded in seconds. As a user centric company, we place a great deal of emphasis on users experience when building our product and have fun doing it!  We are a fresh and energetic startup, post round A in funding ($12M), led by a strong team of second timer founders and top angel investors and VCs from the Sillicon Valley and Tel Aviv. Our expanding team is made up of enthusiastic and dedicated members working together to revolutionize the productivity world. We believe that collaboration across teams - where everyone is accessible, from our newest hires to the founders - combined with a vested interest in our teams well being are the keys to our successful working environment.",-1,1,3.5,3.7,3.7,3.4,3.5,51 to 200 Employees,Company - Private,Media & Communication,2011,Publishing,Unknown / Non-Applicable
196,SOFTWARE AUTOMATION ENGINEER R&D,Toka,Tel Aviv-Yafo,3.7 ,"Tel Aviv, IL DESCRIPTION We are seeking a highly skilled and motivated Software Automation Engineer to join our team. As a Software Automation Engineer, you will be responsible for designing, developing, and implementing software solutions to ensure the quality and reliability of our software products. You will tackle challenging technological issues on a daily-basis in areas such as computer networking, operation systems, complexity and efficiency, distributed programming, parallelism, concurrency, user-experience (UX) and so much more. You will collaborate with cross-functional teams to understand requirements, create test strategies, develop automation frameworks, write test scenarios to evaluate the quality and performance of the system. Your skills and expertise will play a crucial role in improving Toka’s cutting edge IoT intelligence platform, and by extension, improving the security of Tier-1 countries around the globe!",-1,0,3.4,3.5,3.5,3.3,3.5,1001 to 5000 Employees,Company - Private,-1,2009,-1,$100 to $500 million (USD)
197,Junior Test Engineer IRC189415,GlobalLogic,Ramat Gan,3.9 ,Job: IRC189415  Location: Israel - Ramat-Gan  Designation: Junior Test Engineer  Experience: 0-1 years  Function: Quality Assurance,-1,0,3.7,3.5,3.9,3.6,4.0,10000+ Employees,Company - Private,Information Technology,2000,Information Technology Support Services,$500 million to $1 billion (USD)
198,Deep Learning Researcher / Engineer,Inspekto,Ramat Gan,-1,"Join our fun, dynamic work environment in the heart of Tel Aviv’s high-tech area. Together, we’ll use formerly-science fiction technology to reimagine QA for industrial manufacturing and impact a $30 billion market. Contact us for Job Offers here: careers@inspekto.com Inspekto is looking for an enthusiastic and creative algorithm developer. Introduction We are taking on very challenging machine-learning tasks – from controlling physical cameras and illuminations, to universal single-shot detectors and accurate 3D homography alignments, to truly unique meta-learners.",-1,1,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,Company - Private,-1,-1,-1,Unknown / Non-Applicable
199,Junior Software Engineer,Nym Health,Tel Aviv-Yafo,-1,"At Nym, we’re passionate about simplifying healthcare by automating the accurate interpretation of clinical language. Our interdisciplinary team has developed an innovative technology that can understand clinical language and provides an entirely new way of analyzing and decoding medical records into clear, concise, and actionable information. This ultimately ensures clinical and administrative teams can spend more time focused on patient care. At Nym, the future is bright. Our engine currently processes over five million charts annually in more than 150 emergency department and urgent care settings across the US. We are backed by top-tier VCs and growing rapidly, with offices in NYC and Tel Aviv.   Requirements:",-1,1,4.1,4.7,3.0,2.7,4.4,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
200,Machine Learning Engineer / Software Engineer,Horizon Technologies,Ramat Gan,3.5 ,"We’re seeking an experienced Machine Learning Engineer / Software Engineer (ML oriented), who will be integral to the data science feature development process, working in tandem with data engineering. You will design machine learning pipelines, apply algorithms to generate predictions and tackle data set challenges, and develop the first-ever, real-time corporate credit score platform. This isn't just another job. you'll be a key part of an exciting, experienced team in a fast-paced environment. You will:  Build forecasting/prediction models from scratch (POC) to production-ready Work closely in aligning the product, research, and development teams in crafting the product, increasing product effectiveness Take a critical role in the research process for finding the best market solutions for defined business problems Provide guidance to the R&D team and product teams  You have:  2+ years of experience as a Senior Software Engineer (ML), Machine Learning Engineer, Data Engineer, or in a similar role 4+ years of hands-on experience in engineering with Python Minimum 3-4 years of relevant experience: SQL complex queries (aggregations, analysis, etc.), as a strong cloud architect Degree in Computer Science, Physics, Mathematics, or equivalent experience Profound analytical skills and true love for data Extensive background in statistical analysis",-1,0,3.3,3.3,3.0,3.1,2.9,201 to 500 Employees,Company - Private,Management & Consulting,-1,Business Consulting,$25 to $100 million (USD)
201,R&D Support Engineer (Tier 3 Support),Albert Technologies,Tel Aviv-Yafo,3.5 ,"Tel Aviv – R&D Support Team Join the top tier of technical support at Albert. Responsibilities: The R&D Support Team is the top tier of technical support at Albert. As part of the team you will: Provide R&D level (Tier 3) support for Account Managers, Professional Services, and Data Researchers. Handle day to day activities in terms of deep investigation of support tickets, escalation handling, monitoring alarms, and alerts. Work with developers and product teams to resolve problems in production and deliver fixes.",-1,0,3.0,3.2,3.4,3.2,3.2,1 to 50 Employees,Company - Public,-1,-1,-1,$1 to $5 million (USD)
202,QA Engineer (Casual Games),PlayWorks Digital,Tel Aviv-Yafo,-1,"Play.Works is the leading games platform distributed through connected devices with the largest CTV game catalog in the world with over 400+ titles built for TV from the ground-up including Crossy Road, Trivia Crack, Tetris®, doodle jump, games from Atari® and Play.Works originals. Play.Works video portfolio leverages a proprietary connected device framework to enable rapid development across multiple Connected TV platforms to distribute AVOD apps and linear channels from creator superstars like SSundee, Ninja Kidz as well as original networks, such as BRB: Travel & Food. Play.Works games and video can be found on world leading players such as Comcast, Cox, SKY, Roku, Vizio, LG, Samsung and most major pay TV platforms in North America and the UK with a combined reach of over 250M homes. For our QA team, we are looking for a candidate that is passionate about games!",-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,1 to 50 Employees,Contract,-1,-1,-1,Unknown / Non-Applicable
